name,age,gender,education,income,country,purchase_frequency,spending
Chelsea French,53,Female,Bachelor,74554,Cape Verde,0.5,10363.85
Andrew Farmer,42,Male,Master,50613,Anguilla,0.8,14024.520000000002
Lisa Romero,33,Female,PhD,73776,Trinidad and Tobago,0.1,2168.88
Dominic Vargas,46,Male,PhD,78468,Mozambique,0.4,8769.36
Ebony Howell,45,Male,Master,82551,Bahamas,0.8,15302.04
William Powell,27,Male,PhD,57161,Afghanistan,0.6,11314.83
Christopher Woods,59,Female,Bachelor,88469,Germany,0.2,4284.6900000000005
Micheal Williams,30,Female,High School,27732,Maldives,0.3,3415.98
Thomas Williams,39,Male,Master,41018,Nigeria,0.8,13640.720000000001
Jared Adams,42,Male,PhD,85024,Aruba,0.4,8900.480000000001
Tracy Johnston,28,Female,High School,64428,Austria,0.9,11899.26
Laura Carter,30,Female,Bachelor,88053,Saint Barthelemy,0.9,15662.385000000002
Rebecca Palmer,63,Female,Bachelor,84676,Greece,1.0,21233.8
Adrienne Buchanan,31,Female,High School,51846,Svalbard & Jan Mayen Islands,0.8,10073.84
Matthew Perry,56,Female,Bachelor,20067,Taiwan,0.1,1800.335
Richard Johnson,21,Male,Bachelor,78093,Philippines,1.0,11904.65
Olivia Johnson,32,Male,PhD,57538,North Macedonia,0.6,11326.140000000001
Richard Michael,49,Male,Bachelor,68842,Mongolia,0.9,14797.89
Miguel Fowler,40,Female,PhD,77527,Botswana,0.6,14325.81
Virginia Huynh,47,Male,Bachelor,48806,Guyana,0.2,3088.06
Jerry Warren,27,Female,PhD,90856,Hong Kong,0.4,9017.12
Bradley Lowe,41,Male,High School,73233,Guadeloupe,0.4,5464.66
Daniel Kennedy,23,Female,PhD,90889,New Caledonia,0.4,7817.780000000001
Jason Munoz,58,Male,Bachelor,89578,Guam,0.8,15583.120000000003
Andrew Gould,37,Female,High School,30260,Myanmar,1.0,13513.0
Gary Smith,64,Female,High School,46732,Swaziland,0.7,11435.619999999999
Katherine Grant,57,Female,Master,30972,Algeria,0.1,2054.86
Anthony Brown,33,Male,Master,40103,Portugal,0.8,12004.12
Paul Williams,34,Male,PhD,56497,Tanzania,0.4,7529.94
Robin Solis MD,42,Female,Master,49924,Norway,1.0,19496.2
Elizabeth Castillo DVM,34,Male,High School,40288,Belgium,0.6,6008.639999999999
Antonio Rodriguez,58,Female,High School,89116,Bahamas,0.8,14764.64
John Kelly,45,Female,PhD,23183,Germany,0.2,4231.830000000001
Michael Stone,45,Male,Bachelor,24079,South Africa,0.2,2840.7900000000004
Tara Bean,63,Female,Bachelor,24166,Kuwait,0.5,9104.15
Joshua Brown,34,Female,High School,65065,Belize,0.5,6626.625
Derrick Miller,41,Male,High School,64400,Germany,0.9,11898.0
Kelly Beck,53,Male,Bachelor,84940,Slovenia,0.1,1924.7
Shaun Barnett,58,Female,Master,38044,Saint Vincent and the Grenadines,0.6,12541.32
Jody Williams,24,Female,High School,52967,Turkey,1.0,9648.35
Sheryl Cook,24,Male,Bachelor,83605,Cuba,0.1,1218.025
Joseph Caldwell,51,Male,Master,32689,Algeria,0.9,16771.005
Morgan Williams,63,Male,Bachelor,50166,British Indian Ocean Territory (Chagos Archipelago),0.7,12255.81
Jeffrey Nicholson,30,Female,Master,40704,Poland,0.5,8517.6
Erin Proctor,64,Female,Bachelor,48320,Czech Republic,0.8,15532.800000000001
Nicholas Moore,38,Male,Master,93544,Togo,0.1,1967.7200000000003
Jonathon Lara,23,Female,Master,62371,Barbados,0.1,1511.855
Carla Nielsen,23,Male,Master,35028,Gabon,0.3,3525.4199999999996
Scott Thompson,63,Female,Bachelor,87201,Chile,0.9,19224.045
Seth Vaughan,40,Female,High School,74344,Central African Republic,0.9,14145.480000000001
Alexandra Baker,52,Female,High School,30534,Sri Lanka,1.0,15526.7
Tony Jones,47,Female,Bachelor,58871,Netherlands Antilles,0.4,7177.42
Thomas Young,58,Female,Master,24108,United States of America,0.1,2020.5400000000002
Debra Fleming,18,Female,High School,61040,Zambia,0.6,6031.2
Emily Ortiz,53,Female,High School,52612,Andorra,0.9,14967.539999999999
Jennifer Hayes,26,Female,High School,70936,Congo,0.7,9482.759999999998
David Simmons,35,Male,Master,60992,Cook Islands,0.9,14444.640000000001
Samantha Jones,49,Female,High School,75529,Palau,0.6,9465.87
Taylor Peterson,28,Male,Bachelor,82563,Congo,0.7,10589.705
Joshua Grant,19,Male,High School,60409,Fiji,0.2,1604.0900000000001
David Lee,29,Male,PhD,21991,Svalbard & Jan Mayen Islands,0.6,10259.73
Virginia Wolfe,51,Female,High School,89118,Cote d'Ivoire,0.4,7382.360000000001
William Davidson,49,Female,Master,72981,Saint Martin,0.7,14454.335
Anna Schroeder,48,Male,Bachelor,88712,Jamaica,0.6,10461.359999999999
James Henderson,30,Male,Bachelor,49007,United States Minor Outlying Islands,0.5,6725.175
Steven Wagner,27,Male,Master,91325,Cook Islands,0.1,1756.625
Steven Novak,29,Male,PhD,40557,Guinea,0.4,7211.139999999999
Sean Evans,53,Male,Bachelor,52499,Norfolk Island,0.9,15862.455000000002
Charles Molina,37,Male,PhD,46186,Italy,0.1,2030.93
Cynthia Oneal,44,Male,PhD,86260,Moldova,0.7,15619.099999999999
Nathaniel Peters,31,Female,PhD,33505,El Salvador,0.3,5902.575
Daniel Chen,23,Male,High School,21382,Congo,0.4,2427.6400000000003
Benjamin Murphy,65,Female,PhD,56148,Panama,0.7,17365.18
John White,40,Female,Master,30044,Colombia,0.3,5550.66
Brian Moreno,55,Male,Bachelor,25943,Bahrain,0.1,1629.7150000000001
Matthew Duncan,50,Male,PhD,52635,Palestinian Territory,0.8,16505.4
Shannon Hogan,63,Male,Master,21768,Liechtenstein,1.0,18088.4
Steven Klein,27,Female,Master,68106,Moldova,0.5,9202.65
Christopher Collins,50,Female,Bachelor,22949,Ireland,0.8,12917.960000000001
Kendra Mcclain,64,Male,PhD,64482,Slovenia,0.8,18579.28
Juan Wade,37,Female,Bachelor,82317,Bangladesh,0.5,9557.925
Alyssa Christensen,62,Female,Master,99048,Tonga,0.7,16766.68
Leslie Esparza,43,Female,Master,94017,United States of America,0.4,8680.34
Dan Frank,30,Female,Bachelor,54754,Marshall Islands,0.9,14163.93
Bonnie Rojas,28,Male,PhD,64789,French Polynesia,0.5,9619.725
Charlotte Fuentes,45,Female,PhD,89038,Maldives,0.1,2445.19
Jessica Johnson,64,Male,Master,80138,Malta,0.2,4201.38
Chelsea Allen,19,Male,High School,53600,Brunei Darussalam,0.1,768.0
Jeffrey Brown,31,Male,Bachelor,67235,Lao People's Democratic Republic,1.0,14361.75
Mary Welch,35,Male,High School,22706,Comoros,1.0,9135.3
Benjamin Simmons,28,Female,Bachelor,71517,Peru,0.8,13260.68
Terry Meza,65,Female,Master,31509,Djibouti,1.0,20575.45
Justin Herrera,45,Male,High School,42569,Russian Federation,0.1,1212.845
Michelle Schneider,56,Female,Master,47343,Netherlands Antilles,0.7,14957.005
Holly Sweeney,30,Female,Bachelor,43437,Bahrain,0.8,12137.480000000001
Marissa Lin,60,Male,PhD,96913,Pakistan,0.4,9938.260000000002
Tammy Kennedy,18,Male,PhD,99230,Antarctica (the territory South of 60 deg S),0.1,1796.15
Jared Vazquez,59,Male,High School,74961,Norway,0.5,7874.025
James Howard,39,Male,High School,64450,Reunion,0.3,3966.75
Rodney Bowen,38,Female,PhD,83078,Mozambique,1.0,24153.9
Aaron Hughes,39,Female,High School,80117,Swaziland,0.3,4801.755
Olivia Petty,24,Female,PhD,99692,Algeria,0.8,15987.68
John Lewis,44,Male,PhD,36567,Mongolia,0.2,3965.67
Nicole Cook DDS,55,Male,Bachelor,83213,Mauritania,0.5,9580.325
Ashley Cruz,61,Male,PhD,54370,Niger,0.5,11359.25
Pamela Cunningham,25,Female,High School,21058,Guinea,0.1,805.29
Kelly Graves,56,Male,Bachelor,36104,Sri Lanka,0.7,11763.64
Jeff Smith,42,Female,High School,61063,Turkmenistan,0.3,4515.945
Samantha Mathews,23,Female,Bachelor,26384,Saint Barthelemy,0.4,4527.68
Joshua Johnson,44,Male,High School,98522,Bahamas,0.7,10448.27
Brian Houston,26,Female,PhD,73047,Russian Federation,0.9,19487.114999999998
Justin Smith,21,Female,Bachelor,93474,Guernsey,0.3,4402.11
Regina Reilly,59,Male,Bachelor,31702,Peru,1.0,16585.1
Kevin Ruiz,48,Female,Master,53123,North Macedonia,0.4,7862.460000000001
Robert Stone,43,Male,High School,88612,Cyprus,0.2,2886.1200000000003
Maria Smith,18,Female,Bachelor,38461,Rwanda,0.9,10730.744999999999
George Herrera,26,Male,Master,20842,Pitcairn Islands,0.6,8425.26
Christopher Mcdaniel,27,Female,High School,31290,Bermuda,0.6,6938.7
Michael Silva,31,Female,PhD,63491,United Kingdom,0.8,16939.64
Lisa King,48,Male,High School,61356,Micronesia,0.8,10454.24
Vincent Ballard,42,Female,PhD,92257,Sierra Leone,0.7,17228.995
Jacob Park,51,Male,Bachelor,38838,Ukraine,0.7,11859.33
Tina Sanders,50,Female,Bachelor,29236,Ukraine,0.3,4938.54
Jamie King,27,Male,PhD,94082,Western Sahara,0.2,4140.82
Nathaniel Martinez III,60,Male,Master,94093,Greenland,0.5,10852.325
Julia Keller,40,Female,PhD,97525,Timor-Leste,0.6,14925.75
Bryan Hood,65,Female,Master,50447,Sweden,0.9,19370.114999999998
Amber Martinez,20,Female,Master,64861,Congo,0.9,13718.744999999999
Jerry Gonzales,18,Male,High School,82297,Uganda,0.2,1822.9700000000003
Maureen Castro,41,Female,Bachelor,91532,Nepal,0.1,1957.6599999999999
Adam Nelson,51,Male,High School,94698,Namibia,0.6,10040.94
Regina Douglas,20,Female,Bachelor,64683,Austria,0.5,6617.075
Randy Gregory,49,Female,PhD,20170,Nauru,0.4,8403.4
Cindy Graham,59,Female,Master,41065,Lebanon,0.1,2105.3250000000003
Yolanda Thompson,65,Female,Bachelor,70498,Saudi Arabia,0.5,10262.45
Michele Villa,61,Female,Bachelor,23577,Sweden,0.8,14543.08
Jessica Nguyen,57,Male,PhD,61320,Uganda,1.0,23066.0
Mary Hughes,38,Female,Bachelor,87161,Japan,0.7,13550.634999999998
Michael Byrd,43,Male,Master,69936,Somalia,0.5,9248.4
Douglas Anderson,33,Male,Master,51692,Costa Rica,0.9,14026.140000000001
Angela Soto,55,Female,PhD,51216,Saint Lucia,1.0,24560.8
Deborah Summers,39,Male,Master,51925,French Southern Territories,0.3,5278.875
Nicole Gray,34,Male,High School,78575,Afghanistan,0.8,9543.0
Shannon Davis,31,Male,Master,99329,Mongolia,0.4,7186.580000000001
Erin Osborne,63,Male,PhD,47563,Ecuador,0.5,11189.075
Jason Smith,42,Female,Bachelor,66392,United Arab Emirates,0.7,12823.719999999998
Jordan Thomas,38,Male,High School,45177,Palestinian Territory,0.4,4903.54
Abigail Hood,56,Male,PhD,30608,Namibia,0.5,10765.2
Frank Allen,50,Female,PhD,75021,Saint Lucia,0.6,14250.63
Veronica Miller,61,Female,High School,35077,Sweden,0.1,1575.3850000000002
Vanessa Burns,39,Male,Master,93240,Norfolk Island,0.8,15729.6
Douglas Owens,37,Female,PhD,69148,Colombia,0.4,9382.960000000001
Lynn Andrade,61,Male,High School,31959,Sweden,0.9,12238.155
Catherine Nelson PhD,19,Female,High School,93860,Uzbekistan,0.4,4677.2
Amber Church,19,Male,High School,60906,Isle of Man,0.2,1609.0600000000002
Clayton Weber,55,Female,Bachelor,95467,Ukraine,1.0,21773.35
Jamie Harmon,51,Male,Master,58729,Ecuador,0.3,5980.935
Donald Juarez,29,Male,Bachelor,37052,British Virgin Islands,0.4,5141.040000000001
Mariah Ayala,34,Female,Master,39040,Sri Lanka,1.0,16952.0
Nicole Haynes,35,Male,High School,37871,Luxembourg,0.7,6925.484999999999
Kathleen Miller,29,Male,High School,66065,Bahamas,0.9,10172.925000000001
Amy Smith,60,Female,Bachelor,55501,Tajikistan,0.2,3955.01
Lindsay Mendez,64,Female,Bachelor,20533,Nicaragua,0.3,5407.995
Ann Gates,31,Male,PhD,36666,Greece,0.3,5349.99
Robert Conley,49,Male,Master,48834,Papua New Guinea,0.3,5232.51
Sharon Brown,47,Female,PhD,50335,Kiribati,0.5,11258.375
Gregory Morgan,61,Male,High School,65849,Marshall Islands,0.8,12233.960000000001
Ryan Yang,35,Female,Master,48556,Marshall Islands,0.5,8713.9
Dennis Garcia,53,Female,High School,42963,Zambia,0.7,11303.705
Elizabeth Smith,25,Male,Bachelor,80400,Kazakhstan,0.3,3606.0
Rachel Haney,45,Female,Bachelor,43283,Turkmenistan,0.2,3432.8300000000004
Steve Stewart,34,Female,Master,69305,Taiwan,0.9,16618.725000000002
Derek Weber,21,Female,PhD,70325,Saint Kitts and Nevis,0.9,16664.625
Russell Huffman,26,Male,High School,60028,Saudi Arabia,1.0,11001.4
Amy Brown,46,Female,Bachelor,81434,Taiwan,0.4,7628.68
Peter Garcia,43,Male,High School,90163,Ethiopia,0.7,10155.705
Andre Boyd,25,Female,Bachelor,24231,Antigua and Barbuda,0.4,4484.62
Chelsea Mora,32,Male,High School,98447,Jordan,0.7,9045.645
Luis Marsh,44,Male,Bachelor,88896,Indonesia,0.4,6977.92
Jeffrey Ramos,31,Female,High School,45095,Madagascar,0.2,2450.9500000000003
Casey Graves,50,Male,Bachelor,92120,Saint Kitts and Nevis,1.0,17606.0
Patrick Gilbert,51,Female,PhD,54353,Bermuda,0.8,19774.120000000003
Tyler Cardenas,58,Male,Master,65268,Russian Federation,0.4,8105.360000000001
Laura Coleman,62,Male,Bachelor,77742,North Macedonia,0.4,7554.84
Rachel Miller,51,Male,High School,38788,Guam,0.4,5575.76
Chloe Case,47,Female,High School,99203,Northern Mariana Islands,0.5,8480.075
Carrie Johnson,59,Female,PhD,63128,Nigeria,0.5,12578.2
Timothy Miranda,60,Male,High School,85056,Suriname,0.6,9751.679999999998
Mr. Nicholas Mason,57,Male,Bachelor,37838,Bulgaria,0.7,11824.33
Rachel White,33,Male,PhD,57081,Saudi Arabia,0.3,5656.214999999999
Billy Myers,51,Female,Bachelor,35172,United Kingdom,0.9,16882.739999999998
Kara Brewer,38,Female,High School,67119,Albania,0.4,6142.380000000001
Ashley Greene,30,Female,PhD,69656,Palau,0.7,15037.96
Cindy Harrison,20,Male,PhD,30106,Iceland,0.5,7252.65
Raymond Brown,58,Male,Bachelor,98952,Guatemala,0.8,15958.08
Laura Howard,40,Male,Bachelor,95054,Micronesia,0.7,12426.89
Jason Martinez,34,Male,High School,40680,Gambia,0.3,3010.2
Victor Allen,46,Female,Bachelor,25021,Comoros,0.5,8125.525
John Phelps III,48,Male,Master,32913,Lebanon,0.2,3329.1300000000006
Kristin Cuevas,49,Male,High School,23946,United States Virgin Islands,1.0,11197.3
Makayla Butler,23,Female,Master,96787,Syrian Arab Republic,0.5,8419.675
Connie Thomas,62,Female,Bachelor,51141,Qatar,0.2,3911.41
Charles White,61,Male,PhD,51875,Swaziland,0.1,2259.375
Crystal Strickland,32,Male,Bachelor,40230,Morocco,1.0,13011.5
Tyrone Wilson,57,Male,High School,33841,Cook Islands,0.5,6846.025
Kristy Hunter,24,Female,PhD,95654,Mozambique,0.5,9891.35
Melissa Johnson,55,Female,High School,29796,Mauritania,0.3,4646.94
Tanya Brown,46,Male,Master,63628,Montserrat,0.5,9090.7
Jeffery Delacruz,58,Female,PhD,22906,Jamaica,0.5,11572.65
Rebecca Phelps,59,Male,Bachelor,31684,Jordan,1.0,16584.2
Karen Bridges,64,Male,Bachelor,88536,Ghana,0.4,7770.72
Jennifer Sherman,46,Female,High School,52831,Luxembourg,0.7,10249.085
Dawn Davies,55,Male,Master,94643,Hungary,0.9,19558.935
Patrick Watkins,42,Male,Master,32443,Saint Vincent and the Grenadines,0.8,13297.720000000001
Jeremy Costa,59,Female,Bachelor,54317,Poland,0.5,9857.925
Jennifer Coleman,23,Female,Bachelor,78974,Korea,0.1,1394.8700000000001
Ryan Hall,42,Female,High School,57400,Mozambique,0.9,13383.0
Brandy Grant DDS,57,Female,PhD,94573,Saint Helena,0.9,24055.785000000003
Joseph Wells,30,Male,High School,54968,Netherlands,0.2,2149.68
Mary Wright,42,Female,Bachelor,83543,Syrian Arab Republic,0.8,15341.720000000001
Kristopher Brown,34,Female,Bachelor,99780,Paraguay,0.8,14391.2
John Riley,35,Male,High School,47230,Benin,0.6,6216.9
Heather Williams,34,Male,High School,77157,Armenia,0.5,5928.925
Michael Brown,38,Male,Master,73779,Cuba,0.3,5606.685
Bryan Gonzalez,59,Male,Bachelor,66856,Fiji,0.8,14674.24
Zachary Mason,46,Male,Master,76057,Guam,0.7,13161.994999999999
Karen Rodriguez,44,Female,High School,31507,Madagascar,0.9,12217.815
Linda Savage,46,Male,High School,22038,El Salvador,0.9,9991.71
Nicole Lee,62,Female,PhD,51122,Nigeria,0.7,17189.269999999997
Stephanie Martinez,58,Male,PhD,27508,Greenland,0.5,10687.7
Nicholas Thornton,56,Male,Master,56511,French Polynesia,0.9,17842.995
Megan Vasquez,25,Female,High School,38933,Libyan Arab Jamahiriya,0.1,894.665
William Rodriguez,23,Female,Master,79288,Mauritius,0.4,6385.76
Kyle Anderson,33,Female,PhD,54278,Bahamas,0.9,18642.510000000002
Timothy Mccann,28,Female,PhD,21946,Lesotho,0.2,3819.46
Cheryl May,18,Male,Master,47226,Reunion,0.5,6180.65
Vanessa Barnett,52,Male,Master,32127,Guam,0.2,3721.27
Daniel Martin,52,Female,High School,52222,France,0.2,3322.22
Christy Hays,61,Male,PhD,41702,Kenya,0.3,6625.53
Patty Stokes,47,Female,Bachelor,77652,Nepal,1.0,18882.6
Heather Mccarthy,19,Female,High School,36082,Argentina,0.2,1760.8200000000002
Michael Davis,37,Male,PhD,47349,India,0.5,10183.725
Johnny Torres,64,Female,Bachelor,80701,Bahrain,1.0,21035.05
Samuel Vance,50,Female,Bachelor,75766,Palau,0.1,1878.83
Joshua Craig,55,Female,Bachelor,57131,Saint Kitts and Nevis,0.6,11913.929999999998
Sarah Rowe,50,Female,PhD,81283,Romania,0.5,12032.075
Oscar Johnson,40,Female,Bachelor,44445,Lao People's Democratic Republic,0.4,6888.900000000001
Rhonda Molina,47,Female,High School,68799,Angola,0.8,12351.960000000001
Robert Davis,57,Female,Bachelor,22754,Cameroon,0.2,3627.5400000000004
Robert Hoffman,47,Male,Bachelor,70944,Congo,1.0,16547.2
Tyler Brown,39,Male,High School,84427,Madagascar,0.7,9954.945
Bradley Boyd,47,Female,Master,21561,Malta,0.4,7231.22
Anthony Thompson,54,Male,High School,84271,Ethiopia,0.3,4864.065
Caitlin Shelton,60,Male,PhD,56561,Congo,0.4,9131.22
Kim Spencer,23,Female,High School,91375,Guyana,0.8,9255.0
John Hogan,63,Female,High School,45910,Nicaragua,1.0,16295.5
Jackie Roberts,36,Female,PhD,87348,Israel,0.5,12183.7
Daniel Fox,22,Male,High School,65368,Central African Republic,0.7,5787.879999999999
David Serrano,59,Female,PhD,50435,Italy,0.5,12260.875
Willie Tyler,49,Female,High School,77006,Monaco,0.5,7925.15
Matthew Duffy,61,Female,Bachelor,72308,Mexico,0.7,14430.78
Samantha Hansen,43,Female,PhD,91783,Haiti,0.6,14753.49
Samantha Roberts,37,Female,Bachelor,65437,Palestinian Territory,0.1,1827.185
Melinda Marshall,45,Female,PhD,60679,Angola,0.2,4606.79
Stephen Williamson,61,Male,Master,50282,French Guiana,0.7,13659.869999999999
Katherine Hartman,19,Female,Bachelor,43992,Ethiopia,0.8,9759.68
Scott Kelly,22,Male,Bachelor,99160,Ukraine,0.1,1295.8000000000002
Douglas Hall,32,Male,High School,88182,Armenia,0.7,8686.369999999999
James Miller,61,Female,Bachelor,57937,Ireland,0.7,13927.794999999998
Connor Matthews,46,Female,High School,40892,Venezuela,0.8,11235.68
Elizabeth Diaz,28,Male,High School,82075,Lesotho,0.5,6051.875
Kenneth Frazier,64,Female,Master,71273,French Southern Territories,0.1,2256.3650000000002
Andrew Davis,55,Female,Master,80464,Serbia,0.2,4604.64
Amy Thomas,21,Female,Bachelor,79609,Saint Barthelemy,0.5,6990.225
Misty Hayes,53,Male,PhD,28918,Peru,0.7,15012.13
Christie Huffman,20,Male,High School,68345,Israel,0.1,841.725
Jennifer Joseph,36,Female,High School,20153,Zimbabwe,0.1,1300.765
Lisa Shelton,57,Male,Bachelor,97851,Azerbaijan,0.3,5967.764999999999
Brent Park,48,Male,Bachelor,22650,Gibraltar,0.9,12719.25
Kyle Palmer,26,Male,High School,28561,Cayman Islands,1.0,9428.05
Caleb Sullivan,60,Male,Bachelor,33121,Canada,0.8,13324.84
Brenda Bonilla,45,Male,High School,82073,Seychelles,0.8,11282.920000000002
Shaun Jackson,50,Male,High School,38113,Tonga,0.6,7143.389999999999
Mary Hill,64,Female,Bachelor,30583,Guam,0.9,16676.235
Kaitlin Murphy,20,Male,High School,69563,Wallis and Futuna,0.6,5086.889999999999
Tina Simmons,51,Female,PhD,60201,Zambia,0.4,10004.02
Gordon Jacobson,54,Male,Bachelor,99292,Guyana,0.7,13975.219999999998
Anthony Fox,41,Female,Master,86244,Libyan Arab Jamahiriya,0.6,12787.32
Robert Short,19,Male,High School,38759,Tuvalu,0.5,3468.975
Jacob Erickson,65,Male,Bachelor,44407,British Indian Ocean Territory (Chagos Archipelago),0.2,3444.0699999999997
Brittney Cohen,49,Female,Bachelor,56112,Comoros,0.5,8902.8
Alicia Duncan,26,Male,Bachelor,66045,Libyan Arab Jamahiriya,0.6,8581.35
Robert Freeman,30,Male,PhD,38954,Brazil,0.5,8973.85
Jimmy Bowen,38,Male,High School,51845,Philippines,0.6,7555.349999999999
Susan Carroll,43,Male,Master,70837,Martinique,0.9,16687.665
Katelyn Snyder,40,Male,Master,50352,British Indian Ocean Territory (Chagos Archipelago),0.7,12262.319999999998
Aaron Martin,20,Female,Master,40872,South Georgia and the South Sandwich Islands,0.5,7021.8
Matthew Moore,20,Female,High School,63899,Tonga,0.7,7136.465
Michael Weber,18,Female,Bachelor,43490,United States Minor Outlying Islands,0.5,6087.25
Michael Patrick,41,Male,Bachelor,85198,Georgia,0.4,6903.960000000001
Katie Cunningham,54,Male,PhD,57376,Canada,0.1,2286.88
Edward Riggs,34,Male,High School,99532,Saint Pierre and Miquelon,0.3,3892.98
Cassandra Armstrong,39,Male,PhD,50697,French Guiana,1.0,20534.85
Robert Hernandez,53,Male,High School,91185,Canada,0.4,6623.700000000001
Dana Roberts,47,Female,Master,65435,Mozambique,0.6,12163.05
Keith Williams,25,Male,PhD,67668,Faroe Islands,0.3,4915.0199999999995
Kathryn Leonard,48,Male,PhD,98627,Bouvet Island (Bouvetoya),0.1,2293.1349999999998
Stephen Jones,60,Male,PhD,74182,Saint Barthelemy,0.7,16596.37
Bryan Williams,28,Male,PhD,69974,Bhutan,0.8,15598.960000000001
Anne Stewart,65,Male,Master,28279,Ireland,0.3,5524.185
Matthew Ramirez Jr.,54,Male,Master,44193,Saint Kitts and Nevis,0.2,3841.9300000000003
Jennifer Owens,27,Female,Bachelor,72157,Mauritania,0.5,8303.925
Brooke Nelson,51,Female,Master,90579,Morocco,0.7,16470.265
Ashley Marshall,49,Female,High School,52873,Rwanda,1.0,14643.65
Tammy Nguyen,38,Female,Master,57342,Netherlands,0.7,13906.969999999998
Denise Manning,56,Male,PhD,87337,Turks and Caicos Islands,0.9,21930.165
Gregory Nixon,30,Female,Master,73303,New Caledonia,0.1,1866.5150000000003
Brian Fleming,19,Female,High School,56471,Bahamas,0.1,982.355
Ronald Tyler,19,Female,PhD,89930,Finland,0.6,11697.9
Melissa Atkins,53,Female,PhD,92860,Turkey,0.8,21314.4
James Brown,55,Male,High School,99582,Namibia,0.6,10187.46
Charles Henderson,31,Female,PhD,28740,Venezuela,0.4,7774.8
Brent Baker,24,Male,PhD,36870,Belize,0.8,11874.800000000001
Jennifer Gutierrez,38,Female,Bachelor,84060,Norfolk Island,0.5,9601.5
Thomas Castro,49,Female,Bachelor,25887,Italy,0.6,9776.61
Connor Lee,50,Female,PhD,90137,Switzerland,1.0,24506.85
Jeffery Adams,24,Female,Bachelor,86048,Palestinian Territory,0.3,4290.72
Tiffany Reed,27,Male,Master,45501,Burkina Faso,0.1,1527.505
Ronald Carter,19,Female,PhD,30220,Ghana,1.0,16511.0
Stephanie Wagner,51,Male,Bachelor,81139,Nepal,1.0,19056.95
Olivia Leon,26,Female,High School,59644,Mayotte,0.6,7789.32
Jason Hayes MD,26,Female,Master,25604,Saint Pierre and Miquelon,0.6,9768.12
Wanda Wiley,24,Male,High School,60165,Saint Pierre and Miquelon,0.5,4004.125
Susan Juarez,55,Female,Bachelor,20931,Cayman Islands,0.8,14437.24
Daniel Baker,43,Female,Bachelor,31970,Czech Republic,0.7,11618.949999999999
Jessica Bell,35,Female,PhD,84592,French Guiana,0.7,15560.719999999998
Jessica Tate,27,Female,Bachelor,75585,Micronesia,0.4,6711.700000000001
Katherine Dominguez,35,Male,Bachelor,80946,Korea,0.6,9028.38
Joshua Rowland,41,Female,PhD,65035,Georgia,0.4,9300.7
Kevin Hubbard,28,Female,Bachelor,64545,Luxembourg,0.4,6490.900000000001
Christian Black,49,Male,High School,90344,Haiti,1.0,14517.2
Victor Baker,56,Female,Master,42831,Japan,0.2,4228.31
Daniel Wright,60,Female,Bachelor,55692,Denmark,0.6,11870.759999999998
Sarah Gibson,60,Male,High School,69655,Bermuda,0.6,9289.65
Casey Mccoy,38,Female,Master,20197,Wallis and Futuna,0.4,7203.94
Ian Morris,60,Female,Bachelor,42250,Australia,0.9,17201.25
Anthony Moore,28,Female,Bachelor,30401,Honduras,0.9,13068.045
Amanda Cohen,34,Male,High School,69656,Nauru,0.2,2296.56
Sharon Savage,43,Female,PhD,38456,Rwanda,0.3,6576.839999999999
Elizabeth Rodriguez,21,Male,Bachelor,35694,Latvia,0.7,6849.29
Paula Branch,56,Male,Master,30726,Libyan Arab Jamahiriya,1.0,18536.3
Dr. Cory Roth,55,Male,Bachelor,59600,Eritrea,0.7,12586.0
Sara Marquez,29,Female,Master,64265,Bolivia,0.3,5463.974999999999
Kathleen Smith,59,Female,Master,43226,Congo,0.3,6348.389999999999
Samuel Fowler,64,Male,Bachelor,88173,Barbados,0.6,11645.19
Candice Gilmore,61,Female,High School,63517,Georgia,0.9,15458.265
Shannon Campbell,45,Female,PhD,27374,Turks and Caicos Islands,0.3,6410.61
Krista Joyce,40,Male,PhD,49645,Benin,0.4,8192.9
Emily Sanders,22,Male,PhD,76912,Russian Federation,0.2,3369.12
Charles Williams,41,Male,High School,62252,Senegal,0.3,3933.7799999999997
Angie Wheeler,30,Male,Master,85087,Slovakia (Slovak Republic),0.6,10352.609999999999
Jason Bender,55,Female,Master,58796,Chile,0.1,2193.98
Rebecca Johnson DDS,57,Male,Master,45652,Palau,0.9,17354.34
Tammy Camacho,53,Male,Master,77634,Korea,0.3,6264.51
Taylor Thomas,25,Male,PhD,89489,French Southern Territories,0.9,15727.005000000001
Katherine Parrish,53,Female,PhD,61615,Martinique,1.0,25080.75
Jacqueline Cross,39,Male,Master,84799,Chile,0.3,5771.985
Tiffany Young,51,Male,PhD,38324,Guernsey,0.1,2191.6200000000003
Tina Griffin,23,Male,Bachelor,34337,Eritrea,0.1,971.6850000000001
Mrs. Nicole Sutton MD,38,Female,Bachelor,28219,Tokelau,0.1,1641.0950000000003
Rita Poole,32,Male,Master,70176,Taiwan,0.9,14857.92
Robert Scott,57,Female,PhD,47499,Palestinian Territory,0.7,17062.465
Ryan Smith,64,Male,Bachelor,94575,Sao Tome and Principe,0.1,1972.875
Alyssa Ortega,46,Male,PhD,40115,British Indian Ocean Territory (Chagos Archipelago),0.4,8002.3
John Owens,22,Male,Master,56774,Philippines,0.5,6419.35
George Golden,46,Female,PhD,84377,Slovenia,0.6,14531.31
